Left	Right	k	Count
None	All	397	10
None	All	398	7
None	All	399	2
None	All	400	5
None	All	401	4
None	All	402	3
None	All	403	3
None	All	404	8
None	All	405	3
None	All	406	4
None	All	407	3
None	All	408	3
None	All	409	10
None	All	410	1
None	All	411	8
None	All	412	5
None	All	413	10
None	All	414	20
None	All	415	21
None	All	416	8
None	All	417	4
None	All	418	7
None	All	419	10
None	All	420	1
None	All	421	5
None	All	422	3
None	All	423	6
None	All	424	5
None	All	425	4
None	All	426	3
None	All	427	3
None	All	428	5
None	All	429	3
None	All	430	6
None	All	431	3
None	All	432	2
None	All	433	2
None	All	434	3
None	All	435	6
None	All	436	6
None	All	437	6
None	All	438	4
None	All	439	1
None	All	440	4
None	All	441	5
None	All	442	6
None	All	443	3
None	All	444	4
None	All	445	13
None	All	446	5
None	All	447	8
None	All	448	7
None	All	449	6
None	All	450	4
None	All	451	6
None	All	452	2
None	All	453	4
None	All	454	5
None	All	455	13
None	All	456	3
None	All	457	3
None	All	458	2
None	All	459	1
None	All	460	2
None	All	461	7
None	All	462	7
None	All	463	4
None	All	464	4
None	All	465	5
None	All	466	2
None	All	467	5
None	All	468	1
None	All	469	6
None	All	470	3
None	All	471	4
None	All	472	2
None	All	473	4
None	All	474	3
None	All	475	4
None	All	476	4
None	All	477	2
None	All	478	5
None	All	479	1
None	All	480	4
None	All	481	1
None	All	482	6
None	All	483	4
None	All	484	4
None	All	485	9
None	All	486	12
None	All	487	7
None	All	488	13
None	All	489	8
None	All	490	8
None	All	491	12
None	All	492	8
None	All	493	8
None	All	494	4
None	All	495	4
None	All	496	5
None	All	497	11
None	All	498	4
None	All	499	4
None	All	500	1
None	All	501	7
None	All	502	7
None	All	503	3
None	All	504	7
None	All	505	5
None	All	506	5
None	All	507	6
None	All	508	8
None	All	509	7
None	All	510	10
None	All	511	8
None	All	512	5
None	All	513	5
None	All	514	0
None	All	515	6
None	All	516	7
None	All	517	6
None	All	518	3
None	All	519	4
None	All	520	5
None	All	521	3
None	All	522	4
None	All	523	5
None	All	524	13
None	All	525	4
None	All	526	12
None	All	527	7
None	All	528	7
None	All	529	7
None	All	530	9
None	All	531	13
None	All	532	11
None	All	533	14
None	All	534	8
None	All	535	10
None	All	536	6
None	All	537	11
None	All	538	3
None	All	539	2
None	All	540	6
None	All	541	3
None	All	542	10
None	All	543	2
None	All	544	4
None	All	545	11
None	All	546	18
None	All	547	9
None	All	548	5
None	All	549	10
None	All	550	3
None	All	551	8
None	All	552	5
None	All	553	3
None	All	554	9
None	All	555	2
None	All	556	1
None	All	557	3
None	All	558	1
None	All	559	3
None	All	560	3
None	All	561	11
None	All	562	4
None	All	563	1
None	All	564	4
None	All	565	1
None	All	566	6
None	All	567	1
None	All	568	2
None	All	569	3
None	All	570	2
None	All	571	4
None	All	572	3
None	All	573	3
None	All	574	3
None	All	575	1
None	All	576	4
None	All	577	4
None	All	578	2
None	All	579	4
None	All	580	4
None	All	581	5
None	All	582	10
None	All	583	1
None	All	584	1
None	All	585	0
None	All	586	11
None	All	587	5
None	All	588	5
None	All	589	4
None	All	590	4
None	All	591	3
None	All	592	4
None	All	593	3
None	All	594	3
None	All	595	3
None	All	596	3
None	All	597	4
None	All	598	16
None	All	599	4
None	All	600	4
None	All	601	5
None	All	602	7
None	All	603	5
None	All	604	3
None	All	605	7
None	All	606	4
None	All	607	3
None	All	608	9
None	All	609	7
None	All	610	6
None	All	611	11
None	All	612	3
None	All	613	1
None	All	614	6
None	All	615	9
None	All	616	7
None	All	617	3
None	All	618	5
None	All	619	8
None	All	620	5
None	All	621	8
None	All	622	11
None	All	623	7
None	All	624	6
None	All	625	3
None	All	626	3
None	All	627	4
None	All	628	3
None	All	629	7
None	All	630	1
None	All	631	7
None	All	632	3
None	All	633	5
None	All	634	5
None	All	635	3
None	All	636	2
None	All	637	2
None	All	638	8
None	All	639	7
None	All	640	4
None	All	641	6
None	All	642	0
None	All	643	2
None	All	644	6
None	All	645	4
None	All	646	7
None	All	647	3
None	All	648	3
None	All	649	2
None	All	650	1
None	All	651	3
None	All	652	5
None	All	653	6
None	All	654	3
None	All	655	3
None	All	656	3
None	All	657	5
None	All	658	2
None	All	659	4
None	All	660	4
None	All	661	1
None	All	662	3
None	All	663	6
None	All	664	2
None	All	665	3
None	All	666	3
None	All	667	11
None	All	668	1
None	All	669	1
None	All	670	3
None	All	671	5
None	All	672	1
None	All	673	0
None	All	674	2
None	All	675	3
None	All	676	4
None	All	677	4
None	All	678	4
None	All	679	4
None	All	680	6
None	All	681	8
None	All	682	3
None	All	683	3
None	All	684	2
None	All	685	3
None	All	686	6
None	All	687	4
None	All	688	6
None	All	689	10
None	All	690	8
None	All	691	6
None	All	692	2
None	All	693	2
None	All	694	4
None	All	695	4
None	All	696	2
None	All	697	1
None	All	698	5
None	All	699	9
None	All	700	3
None	All	701	5
None	All	702	2
None	All	703	2
None	All	704	2
None	All	705	4
None	All	706	3
None	All	707	8
None	All	708	6
None	All	709	3
None	All	710	3
None	All	711	4
None	All	712	7
None	All	713	3
None	All	714	6
None	All	715	6
None	All	716	4
None	All	717	5
None	All	718	7
None	All	719	4
None	All	720	1
None	All	721	3
None	All	722	2
None	All	723	2
None	All	724	4
None	All	725	1
None	All	726	2
None	All	727	2
None	All	728	3
None	All	729	3
None	All	730	4
None	All	731	10
None	All	732	1
None	All	733	4
None	All	734	2
None	All	735	0
None	All	736	3
None	All	737	2
None	All	738	2
None	All	739	5
None	All	740	5
None	All	741	3
None	All	742	2
None	All	743	3
None	All	744	5
None	All	745	1
None	All	746	4
None	All	747	3
None	All	748	0
None	All	749	3
None	All	750	2
None	All	751	1
None	All	752	5
None	All	753	1
None	All	754	4
None	All	755	1
None	All	756	5
None	All	757	3
None	All	758	6
None	All	759	0
None	All	760	2
None	All	761	2
None	All	762	2
None	All	763	1
None	All	764	1
None	All	765	4
None	All	766	1
None	All	767	1
None	All	768	1
None	All	769	1
None	All	770	2
None	All	771	1
None	All	772	6
None	All	773	3
None	All	774	6
None	All	775	4
None	All	776	2
None	All	777	2
None	All	778	3
None	All	779	6
None	All	780	2
None	All	781	5
None	All	782	3
None	All	783	1
None	All	784	3
None	All	785	4
None	All	786	0
None	All	787	2
None	All	788	2
None	All	789	2
None	All	790	0
None	All	791	4
None	All	792	3
None	All	793	3
None	All	794	0
None	All	795	3
None	All	796	5
None	All	797	8
None	All	798	3
None	All	799	0
None	All	800	4
None	All	801	1
None	All	802	1
None	All	803	5
None	All	804	3
None	All	805	0
None	All	806	2
None	All	807	0
None	All	808	5
None	All	809	3
None	All	810	1
None	All	811	4
None	All	812	8
None	All	813	2
None	All	814	5
None	All	815	6
None	All	816	8
None	All	817	13
None	All	818	7
None	All	819	11
None	All	820	6
None	All	821	8
None	All	822	7
None	All	823	2
None	All	824	6
None	All	825	3
None	All	826	2
None	All	827	1
None	All	828	2
None	All	829	0
None	All	830	3
None	All	831	2
None	All	832	3
None	All	833	0
None	All	834	3
None	All	835	1
None	All	836	4
None	All	837	4
None	All	838	4
None	All	839	1
None	All	840	1
None	All	841	1
None	All	842	3
None	All	843	5
None	All	844	0
None	All	845	3
None	All	846	3
None	All	847	1
None	All	848	9
None	All	849	7
None	All	850	3
None	All	851	2
None	All	852	3
None	All	853	3
None	All	854	3
None	All	855	1
None	All	856	4
None	All	857	0
None	All	858	3
None	All	859	11
None	All	860	3
None	All	861	6
None	All	862	10
None	All	863	6
None	All	864	1
None	All	865	2
None	All	866	3
None	All	867	3
None	All	868	0
None	All	869	3
None	All	870	0
None	All	871	3
None	All	872	0
None	All	873	3
None	All	874	5
None	All	875	3
None	All	876	3
None	All	877	5
None	All	878	2
None	All	879	2
None	All	880	17
None	All	881	0
None	All	882	2
None	All	883	3
None	All	884	3
None	All	885	0
None	All	886	3
None	All	887	1
None	All	888	1
None	All	889	4
None	All	890	1
None	All	891	1
None	All	892	1
None	All	893	3
None	All	894	3
None	All	895	1
None	All	896	0
None	All	897	0
None	All	898	1
None	All	899	1
None	All	900	2
None	All	901	1
None	All	902	1
None	All	903	0
None	All	904	0
None	All	905	5
None	All	906	0
None	All	907	0
None	All	908	2
None	All	909	1
None	All	910	1
None	All	911	2
None	All	912	0
None	All	913	0
None	All	914	0
None	All	915	0
None	All	916	1
None	All	917	4
None	All	918	1
None	All	919	0
None	All	920	1
None	All	921	2
None	All	922	1
None	All	923	1
None	All	924	1
None	All	925	2
None	All	926	2
None	All	927	3
None	All	928	4
None	All	929	2
None	All	930	0
None	All	931	5
None	All	932	6
None	All	933	1
None	All	934	1
None	All	935	1
None	All	936	2
None	All	937	2
None	All	938	1
None	All	939	2
None	All	940	1
None	All	941	2
None	All	942	0
None	All	943	1
None	All	944	1
None	All	945	4
None	All	946	5
None	All	947	5
None	All	948	0
None	All	949	2
None	All	950	3
None	All	951	1
None	All	952	1
None	All	953	10
None	All	954	1
None	All	955	3
None	All	956	2
None	All	957	1
None	All	958	4
None	All	959	2
None	All	960	6
None	All	961	7
None	All	962	1
None	All	963	1
None	All	964	1
None	All	965	2
None	All	966	0
None	All	967	2
None	All	968	0
None	All	969	2
None	All	970	4
None	All	971	1
None	All	972	1
None	All	973	1
None	All	974	4
