A	B	C	theta_J	jack_se	Zscore	AlleleCount
ind0	Pop0	Pop1	2.2767929213951018e-12	2.049278645002731e-12	1.1110216401986992	4
ind0	Pop0	Pop2	-6.312255507330842e-14	1.7852743953188371e-12	-0.035357340719623764	4
ind0	Pop0	Pop3	3.988606458681305e-12	3.433876726259808e-12	1.1615461988426448	4
ind0	Pop0	Pop4	-2.88222822418187e-12	1.682259737435473e-12	-1.7133074994564712	4
ind0	Pop0	Pop5	1.2218879668822678e-12	1.7977910974513879e-12	0.679660706193539	4
ind0	Pop0	Pop6	3.726168341486414e-12	2.1495651224825317e-12	1.7334521771469127	4
ind0	Pop0	Pop7	-3.7421246181228423e-13	1.4637067374423494e-12	-0.25566081800386825	4
ind0	Pop0	Pop8	8.831713061047057e-13	1.6163041017527796e-12	0.5464140721705539	4
ind0	Pop1	Pop0	2.1495744211395365e-11	5.616429953625383e-12	3.8272967683893127	4
ind0	Pop1	Pop2	-9.113735641049309e-12	2.10670594300462e-12	-4.3260596816142	4
ind0	Pop1	Pop3	1.3921340373786492e-11	3.03710566437389e-12	4.583752398570704	4
ind0	Pop1	Pop4	-5.287224189192416e-12	1.9293963306358276e-12	-2.7403515313258757	4
ind0	Pop1	Pop5	-2.7164244748301465e-12	1.9805636437477084e-12	-1.3715411183101445	4
ind0	Pop1	Pop6	7.442074861545493e-12	2.2069278083503258e-12	3.3721424114495293	4
ind0	Pop1	Pop7	-1.7101127333861439e-12	1.4487626837828883e-12	-1.1803953487543177	4
ind0	Pop1	Pop8	-2.1296012978817416e-12	1.5688952098579635e-12	-1.3573891261192266	4
ind0	Pop2	Pop0	3.244302411193246e-11	5.443993534195587e-12	5.959416356420469	4
ind0	Pop2	Pop1	3.939468188309429e-12	1.979079009955781e-12	1.9905562984054128	4
ind0	Pop2	Pop3	1.9625542032877676e-11	3.3552686457851744e-12	5.849171587953446	4
ind0	Pop2	Pop4	-3.583359915926981e-12	1.99251838641581e-12	-1.798407452777796	4
ind0	Pop2	Pop5	-1.211791722615388e-11	1.9407423268056886e-12	-6.243959880083119	4
ind0	Pop2	Pop6	9.837166367532677e-12	2.3215233207888605e-12	4.237375640142171	4
ind0	Pop2	Pop7	-1.7331569307732256e-12	1.6765091474064937e-12	-1.0337891287109076	4
ind0	Pop2	Pop8	-6.13519847763771e-12	1.4040193854522275e-12	-4.369739151188139	4
ind0	Pop3	Pop0	2.036468837957399e-11	5.379588081515369e-12	3.785547902737841	4
ind0	Pop3	Pop1	1.1249652358407452e-11	1.8513754875193773e-12	6.076375340520818	4
