A	B	C	theta_J	jack_se	Zscore	AlleleCount
ind0	Pop0	Pop1	2.1113457118986226e-13	6.277445180094877e-13	0.3363383751392174	2
ind0	Pop0	Pop2	-2.5606093496739163e-13	6.112736450048433e-13	-0.4188973908164531	2
ind0	Pop0	Pop3	1.408626668246863e-12	1.0269225312571745e-12	1.3716971099294126	2
ind0	Pop0	Pop4	-4.146059671830629e-13	5.110210592826908e-13	-0.8113285346107583	2
ind0	Pop0	Pop5	1.3270151364328366e-13	8.230737218472047e-13	0.1612267651377143	2
ind0	Pop0	Pop6	1.3747030749667374e-12	8.456332844537176e-13	1.625649203076013	2
ind0	Pop0	Pop7	-1.7566761282806277e-13	6.931528109070379e-13	-0.2534327352697159	2
ind0	Pop0	Pop8	-1.68254426462696e-13	5.150562822859057e-13	-0.3266719235341714	2
ind0	Pop1	Pop0	7.846115044408966e-12	2.0160562105777195e-12	3.8918136325973713	2
ind0	Pop1	Pop2	-2.9173543172999485e-12	6.670414925683558e-13	-4.373572483575284	2
ind0	Pop1	Pop3	3.7452180896156414e-12	9.302616887836576e-13	4.0259833708863315	2
ind0	Pop1	Pop4	-1.1457024516651692e-12	5.434687882668436e-13	-2.1081292548903994	2
ind0	Pop1	Pop5	-1.2626298006822658e-12	8.057590476762088e-13	-1.5670066682138564	2
ind0	Pop1	Pop6	2.28276321143836e-12	8.730184893755018e-13	2.6147936604083766	2
ind0	Pop1	Pop7	-2.8210434760223874e-13	6.764953940845924e-13	-0.4170085266936244	2
ind0	Pop1	Pop8	-4.4945010746856844e-13	5.720129761399648e-13	-0.7857341113160224	2
ind0	Pop2	Pop0	1.0876092906427603e-11	2.010214459350308e-12	5.41041422512835	2
ind0	Pop2	Pop1	5.330995002602092e-13	6.114362638579016e-13	0.871880736835233	2
ind0	Pop2	Pop3	5.1644330537922965e-12	1.0059097558468322e-12	5.134091824613613	2
ind0	Pop2	Pop4	-7.381831973224069e-13	6.286789535322765e-13	-1.1741815010266738	2
ind0	Pop2	Pop5	-3.768613604796941e-12	8.216896128904229e-13	-4.586419915350089	2
ind0	Pop2	Pop6	3.0330326609811708e-12	8.631462177696634e-13	3.513926839439105	2
ind0	Pop2	Pop7	-3.5850378331313435e-13	7.044457526579262e-13	-0.5089160974574308	2
ind0	Pop2	Pop8	-1.6110825199176459e-12	5.040091795931173e-13	-3.1965340814194305	2
ind0	Pop3	Pop0	7.935269271048788e-12	1.9608228988619754e-12	4.046907691487217	2
ind0	Pop3	Pop1	2.7566294289041574e-12	5.933607901441846e-13	4.645789669105548	2
ind0	Pop3	Pop2	7.253905755206677e-13	6.082118614209572e-13	1.192661014249126	2
ind0	Pop3	Pop4	-1.3349953386806214e-12	5.703022562274209e-13	-2.3408557902465357	2
ind0	Pop3	Pop5	-7.765474906094593e-15	8.032423405932133e-13	-0.009667661319197402	2
ind0	Pop3	Pop6	-1.7126391631952625e-12	7.751989689828014e-13	-2.2092897845859483	2
