A	B	C	theta_J	jack_se	Zscore	AlleleCount
ind0	Pop0	Pop1	2.7921610168801304e-12	2.7553559037549223e-12	1.0133576620991325	5
ind0	Pop0	Pop2	2.849727953775144e-12	2.3605619568213555e-12	1.2072243838126075	5
ind0	Pop0	Pop3	2.954269805621923e-12	2.668990031957709e-12	1.1068867887284544	5
ind0	Pop0	Pop4	-3.672327407552936e-13	2.004123369410006e-12	-0.18323859017890862	5
ind0	Pop0	Pop5	-3.812159170749747e-12	1.8337416873533842e-12	-2.078896497276989	5
ind0	Pop0	Pop6	2.8628625730048978e-12	2.66280942975221e-12	1.0751285995225366	5
ind0	Pop0	Pop7	-2.4330939099600728e-12	2.1924463176879026e-12	-1.1097621366282533	5
ind0	Pop0	Pop8	-2.653190959479251e-13	1.9054170171355905e-12	-0.13924463440910104	5
ind0	Pop1	Pop0	1.4649950490173407e-11	3.1708807300626373e-12	4.620151856006269	5
ind0	Pop1	Pop2	-5.658459458017678e-12	2.4174161660318e-12	-2.340705558905096	5
ind0	Pop1	Pop3	1.0669110410862824e-11	2.575870623316815e-12	4.141943432362594	5
ind0	Pop1	Pop4	-3.5663292354011146e-12	2.615082415013892e-12	-1.3637540503220313	5
ind0	Pop1	Pop5	-6.2086735135609254e-12	2.1685179019687772e-12	-2.86309534633038	5
ind0	Pop1	Pop6	5.557742657851384e-12	2.476045419148542e-12	2.2446044870059656	5
ind0	Pop1	Pop7	-2.8840855043272374e-12	2.2455853715046276e-12	-1.2843357197303038	5
ind0	Pop1	Pop8	-2.841851334384941e-12	1.7744831144872462e-12	-1.601509369789704	5
ind0	Pop2	Pop0	2.226748310515574e-11	3.1884696646075216e-12	6.983752535684455	5
ind0	Pop2	Pop1	1.907262913759086e-12	2.5254513843898703e-12	0.7552166418835523	5
ind0	Pop2	Pop3	1.3490411696999634e-11	2.602963542479795e-12	5.1827125032060835	5
ind0	Pop2	Pop4	-5.323168395988873e-13	2.2393136619388127e-12	-0.2377142821242844	5
ind0	Pop2	Pop5	-1.2175362701277185e-11	2.1583411163531766e-12	-5.641074345953798	5
ind0	Pop2	Pop6	7.416157685477423e-12	2.326769150762023e-12	3.1873199294603904	5
ind0	Pop2	Pop7	-6.524658629695239e-13	2.1955206070199586e-12	-0.2971804777797709	5
ind0	Pop2	Pop8	-5.984759834279466e-12	1.9739009203373574e-12	-3.0319454095277574	5
ind0	Pop3	Pop0	1.3609711869419621e-11	3.3084476110647794e-12	4.113624717496892	5
ind0	Pop3	Pop1	9.482973880241386e-12	2.5112610243203178e-12	3.776180089765057	5
ind0	Pop3	Pop2	4.7385527946014504e-12	2.167889696142751e-12	2.1857905423106114	5
ind0	Pop3	Pop4	-2.441920875555521e-12	1.8052188488918914e-12	-1.35270074154968	5
ind0	Pop3	Pop5	-4.4787857666445724e-12	2.179449125785197e-12	-2.0550081732378067	5
ind0	Pop3	Pop6	-4.995484582495779e-12	2.523023756295591e-12	-1.9799593919917577	5
ind0	Pop3	Pop7	-5.4970773600226905e-12	2.416545410868595e-12	-2.2747668366996834	5
ind0	Pop3	Pop8	-2.20587219346705e-12	1.7283322218807985e-12	-1.2763010291311847	5
ind0	Pop4	Pop0	2.039027765156592e-11	2.917119041072539e-12	6.989868210544131	5
ind0	Pop4	Pop1	5.017452307863313e-12	3.0306082503526693e-12	1.65559250598603	5
ind0	Pop4	Pop2	4.857423318887683e-13	2.4843331388612485e-12	0.19552222054704768	5
ind0	Pop4	Pop3	7.327997198330293e-12	2.703532999278005e-12	2.710526263332935	5
ind0	Pop4	Pop5	-7.783348382150817e-12	2.423862679624139e-12	-3.211134214648562	5
ind0	Pop4	Pop6	1.4655649271958128e-12	2.3629944850161515e-12	0.6202151280881197	5
ind0	Pop4	Pop7	-7.721371030738959e-12	2.4612650310893677e-12	-3.137155459979636	5
ind0	Pop4	Pop8	-7.737806392843328e-12	1.5265293584223384e-12	-5.068888030322795	5
ind0	Pop5	Pop0	2.2705829790220277e-11	3.316905969021065e-12	6.845484919465945	5
ind0	Pop5	Pop1	7.791093955352853e-12	2.76737203626076e-12	2.815340277081099	5
ind0	Pop5	Pop2	-5.741317604140216e-12	2.7483657713171014e-12	-2.0889932715865545	5
ind0	Pop5	Pop3	1.0707118232890593e-11	2.7967498414117045e-12	3.8284147099427392	5
ind0	Pop5	Pop4	-2.3673624565014602e-12	1.9641243244251664e-12	-1.2053017352627655	5
ind0	Pop5	Pop6	4.518590577968492e-12	2.351954620148941e-12	1.9212065314773572	5
ind0	Pop5	Pop7	-6.4228658363866756e-12	2.4705369674832898e-12	-2.599785358779546	5
ind0	Pop5	Pop8	-1.389968869744757e-11	1.551675807451808e-12	-8.957856164731927	5
ind0	Pop6	Pop0	2.1794013082154848e-11	2.8606757401015487e-12	7.618484254136821	5
ind0	Pop6	Pop1	1.2638173849320483e-11	2.886368362586748e-12	4.378572746686504	5
ind0	Pop6	Pop2	6.930866505169816e-12	2.351596792822575e-12	2.947302244297941	5
ind0	Pop6	Pop3	3.271083139594758e-12	2.7577617756042623e-12	1.1861369493664913	5
ind0	Pop6	Pop4	-3.778542459947047e-14	2.4541066171170697e-12	-0.015396814602887308	5
ind0	Pop6	Pop5	-2.4007456994761364e-12	2.3159231750605994e-12	-1.0366257936916743	5
ind0	Pop6	Pop7	-1.2423402614256962e-11	2.6016609416630964e-12	-4.775181275664375	5
ind0	Pop6	Pop8	-5.538248362408581e-12	1.8357821928401824e-12	-3.0168330339016007	5
ind0	Pop7	Pop0	2.36024193589578e-11	2.9871191037117834e-12	7.901398819226699	5
ind0	Pop7	Pop1	1.0771112798613336e-11	2.784337000476384e-12	3.8684659208890526	5
ind0	Pop7	Pop2	5.437010068194271e-12	2.0969056324383846e-12	2.592873033524093	5
ind0	Pop7	Pop3	9.344257473539302e-12	2.8653288203127823e-12	3.2611466465197085	5
ind0	Pop7	Pop4	-2.6499542710628453e-12	2.155039490147415e-12	-1.2296546226545368	5
ind0	Pop7	Pop5	-6.767435002359887e-12	2.2441697969124837e-12	-3.0155628204561378	5
ind0	Pop7	Pop6	-5.84863550278552e-12	2.3775751946003795e-12	-2.459916101105081	5
ind0	Pop7	Pop8	-1.1971825030754548e-11	1.9704220288710792e-12	-6.075766945020203	5
ind0	Pop8	Pop0	2.671632546539327e-11	3.1848860870031225e-12	8.388471278271837	5
ind0	Pop8	Pop1	1.1976255742380134e-11	2.7849602790507136e-12	4.3003326950366345	5
ind0	Pop8	Pop2	1.2676248707088348e-12	2.2416211780234443e-12	0.5654946889048249	5
ind0	Pop8	Pop3	1.3798371413919437e-11	2.7209306481561803e-12	5.071195557031124	5
ind0	Pop8	Pop4	-1.5034808593426715e-12	2.2842280053437648e-12	-0.6582008695390306	5
ind0	Pop8	Pop5	-1.3081349089596318e-11	2.0455633001595262e-12	-6.3949862067706	5
ind0	Pop8	Pop6	2.199427522887356e-12	2.0732956507197735e-12	1.0608364138147852	5
ind0	Pop8	Pop7	-1.0808916256930008e-11	2.8647500213912516e-12	-3.773074849888896	5
ind1	Pop0	Pop1	-4.8622740473669896e-12	2.888742848307971e-12	-1.683179951519388	5
ind1	Pop0	Pop2	-1.0571463791445034e-12	2.3715700987613433e-12	-0.44575801478381116	5
ind1	Pop0	Pop3	4.957173305902058e-12	2.763392444759343e-12	1.793872352550984	5
ind1	Pop0	Pop4	-3.910400664412872e-12	2.527145408946525e-12	-1.5473587908987698	5
ind1	Pop0	Pop5	2.0790446016162255e-12	2.8167123918007133e-12	0.7381103614512451	5
ind1	Pop0	Pop6	2.8357086895693247e-12	2.721694685402807e-12	1.04189081338844	5
ind1	Pop0	Pop7	2.7434818266047928e-12	2.4129124065778802e-12	1.1370001741985087	5
ind1	Pop0	Pop8	6.807411558081368e-13	2.0750447252237228e-12	0.3280609557631304	5
ind1	Pop1	Pop0	1.7584267530145968e-11	6.872424226668329e-12	2.558670266877663	5
ind1	Pop1	Pop2	-9.17464635764538e-12	2.9741518077804197e-12	-3.084794237350086	5
ind1	Pop1	Pop3	1.2471723561114921e-11	2.562811580360826e-12	4.866422352968684	5
ind1	Pop1	Pop4	-6.755180366692934e-12	2.668583631965408e-12	-2.5313729297356713	5
ind1	Pop1	Pop5	-9.065901184315447e-13	2.851997977491651e-12	-0.3178789485779706	5
ind1	Pop1	Pop6	5.533304162759366e-12	2.924577621880863e-12	1.8920011291069003	5
ind1	Pop1	Pop7	1.7748326585811332e-12	2.570736778990693e-12	0.6903984387222861	5
ind1	Pop1	Pop8	-1.9903971078044855e-12	1.9172314778478556e-12	-1.0381621263796275	5
ind1	Pop2	Pop0	2.520180014512825e-11	7.296309619167968e-12	3.454047519984785	5
ind1	Pop2	Pop1	-4.981728644063331e-12	2.6724585943494574e-12	-1.8640994680316112	5
ind1	Pop2	Pop3	1.529302484725168e-11	2.586749711931515e-12	5.912062066427154	5
ind1	Pop2	Pop4	-3.721167970890716e-12	2.619479352522424e-12	-1.420575415991511	5
ind1	Pop2	Pop5	-6.873279306147827e-12	2.5341529970303022e-12	-2.712259012854558	5
