A	B	C	theta_J	jack_se	Zscore	AlleleCount
ind0	Pop0	Pop1	3.3860347228333104e-13	1.9544283503401025e-12	0.1732493658436793	4
ind0	Pop0	Pop2	1.7063712920499563e-12	2.1269985901656115e-12	0.8022437344056235	4
ind0	Pop0	Pop3	3.775940248138966e-13	2.053304879233727e-12	0.1838957422410699	4
ind0	Pop0	Pop4	-1.194347189181111e-12	1.3924404281090649e-12	-0.8577366507542699	4
ind0	Pop0	Pop5	-3.5508932838269634e-12	1.0628451914552371e-12	-3.340931786091176	4
ind0	Pop0	Pop6	1.8396120024626193e-12	1.983355111955965e-12	0.9275252784401339	4
ind0	Pop0	Pop7	-8.275292101728519e-13	1.6931972844455127e-12	-0.4887376195171791	4
ind0	Pop0	Pop8	-7.906887862363494e-13	1.648290717294644e-12	-0.47970226243469644	4
ind0	Pop1	Pop0	1.0047475577428552e-11	2.1018785074369247e-12	4.780236127767754	4
ind0	Pop1	Pop2	-3.898918436178221e-12	2.071972008832808e-12	-1.8817428129130838	4
ind0	Pop1	Pop3	6.370027322908637e-12	2.0647422616544732e-12	3.0851440594838935	4
ind0	Pop1	Pop4	-3.7392689016225465e-12	1.8878267023184743e-12	-1.9807267780619282	4
ind0	Pop1	Pop5	-5.620861481979494e-12	1.2602362532653013e-12	-4.460164883699951	4
ind0	Pop1	Pop6	3.1813673613703196e-12	2.0395981150340892e-12	1.5598010892048442	4
ind0	Pop1	Pop7	-1.1610580183512628e-12	1.7255841010766246e-12	-0.672849279050993	4
ind0	Pop1	Pop8	-2.730981275598709e-12	1.5728776075256202e-12	-1.7362961126358492	4
ind0	Pop2	Pop0	1.5235969364622904e-11	2.1518960927667287e-12	7.080253277951615	4
ind0	Pop2	Pop1	5.8584313226183e-14	1.7833102554857416e-12	0.03285144188789835	4
ind0	Pop2	Pop3	8.478082992644469e-12	2.0565123290537398e-12	4.1225539340897015	4
ind0	Pop2	Pop4	-1.1013620175391072e-12	1.7317187800648565e-12	-0.6359935748331256	4
ind0	Pop2	Pop5	-9.739264560052636e-12	1.3313788994988878e-12	-7.315171183588952	4
ind0	Pop2	Pop6	4.757437602942978e-12	1.8848755084505524e-12	2.524006270766282	4
ind0	Pop2	Pop7	4.1866886437223004e-13	1.7283381388120846e-12	0.24223782081207101	4
ind0	Pop2	Pop8	-5.151187460205498e-12	1.7418188858552817e-12	-2.9573611252217655	4
ind0	Pop3	Pop0	9.515657984840207e-12	2.2262088949104444e-12	4.274377847736972	4
ind0	Pop3	Pop1	5.803118233042795e-12	1.50699162911257e-12	3.850796594311613	4
ind0	Pop3	Pop2	3.953671153374229e-12	1.8827025845420937e-12	2.0999977297719763	4
ind0	Pop3	Pop4	-2.856895449509191e-12	1.5282225733416353e-12	-1.8694236686101677	4
ind0	Pop3	Pop5	-4.0422690887731955e-12	1.4439532089503858e-12	-2.7994460372518124	4
ind0	Pop3	Pop6	-4.411319761004115e-12	2.0438445255375023e-12	-2.1583440941252614	4
ind0	Pop3	Pop7	-2.7756843252051325e-12	1.8591994066674704e-12	-1.4929460042053366	4
ind0	Pop3	Pop8	-2.421885371637624e-12	1.6136959086192189e-12	-1.5008313268327882	4
ind0	Pop4	Pop0	1.452075525659429e-11	2.035391527172925e-12	7.13413368520946	4
ind0	Pop4	Pop1	2.1136663728611894e-12	2.1337692896123076e-12	0.99057868306148	4
ind0	Pop4	Pop2	7.940705075402282e-13	2.1147360560298515e-12	0.375493908696575	4
ind0	Pop4	Pop3	3.5629489148404e-12	2.1590878682974353e-12	1.6502102425548757	4
ind0	Pop4	Pop5	-6.48708543871929e-12	1.5374398196373245e-12	-4.219407716556714	4
ind0	Pop4	Pop6	4.208599797611303e-13	1.8931928341162387e-12	0.22230169699411098	4
ind0	Pop4	Pop7	-4.281845369524439e-12	1.9855130614085924e-12	-2.156543541691309	4
ind0	Pop4	Pop8	-6.44881990450252e-12	1.3620039672393438e-12	-4.73480258473379	4
ind0	Pop5	Pop0	1.656169593116269e-11	2.1810640139686203e-12	7.593402039139311	4
ind0	Pop5	Pop1	4.393905952253923e-12	1.8873025256224596e-12	2.3281407684254276	4
ind0	Pop5	Pop2	-3.681999875223603e-12	2.3664879892290373e-12	-1.5558920611395697	4
ind0	Pop5	Pop3	6.539407435326064e-12	2.2325551897822672e-12	2.929113450478162	4
ind0	Pop5	Pop4	-2.3252532789695888e-12	1.448431430542307e-12	-1.6053595841254227	4
ind0	Pop5	Pop6	2.9949618769692616e-12	1.8151154134016323e-12	1.6500118145966973	4
ind0	Pop5	Pop7	-3.321790711576455e-12	1.8976722599015305e-12	-1.750455429932259	4
ind0	Pop5	Pop8	-1.1038038706334914e-11	1.4150005449299871e-12	-7.800731063945326	4
ind0	Pop6	Pop0	1.564861761833505e-11	1.990617577052433e-12	7.861187301232627	4
ind0	Pop6	Pop1	7.431601725115476e-12	1.9454257236399936e-12	3.8200387888418375	4
ind0	Pop6	Pop2	5.050169217283737e-12	2.0524990402823705e-12	2.4604977240763852	4
